idx,persona_text,source_config,age,is_excluded,llm_label,llm_confidence,llm_reason,edu_group
124609,A creative middle schooler who has started a cooking vlog using the new kitchen,persona,12.0,False,yes,100,Persona is explicitly described as a middle schooler,secondary
21530,A middle school student who turns to the stream for encouragement while dealing with school stress,persona,12.0,False,yes,100,Explicitly described as a middle school student,secondary
111683,An ambitious 8th grader with a penchant for documentary filmmaking and a keen interest in local legends,persona,13.0,False,yes,100,8th grade is typically part of middle school or junior high school,secondary
85360,A middle school student working on a school project about mystery novels,persona,12.0,False,yes,100,Explicitly described as a middle school student,secondary
149329,A middle school student who attends the coding workshops and looks up to the advocate as a role model,persona,12.0,False,yes,100,Explicitly described as a middle school student,secondary
53014,A middle school student who aspires to beat their grandparent in a game of chess,persona,12.0,False,yes,100,Explicitly described as a middle school student,secondary
121207,A straight-laced student council president who occasionally clashes with the blogger's radical ideas,persona,17.0,False,yes,90,student council president implies a secondary school setting,secondary
112135,A middle school student who is obsessed with freshwater aquariums and often daydreams about discovering new species.,persona,12.0,False,yes,100,Explicitly described as a middle school student,secondary
87874,A Japanese middle school student who is a big fan of Super Sentai.,persona,12.0,False,yes,100,Explicitly described as a middle school student,secondary
122827,a middle school student who loves reading books about animals and history,persona,12.0,False,yes,100,explicitly described as a middle school student,secondary
36766,an Israeli student attending Stephen Lewis Secondary School,persona,11.0,False,yes,100,attending a secondary school,secondary
148450,A shy but imaginative middle schooler who is looking for a captivating adventure novel to read,persona,12.0,False,yes,100,Explicitly described as a middle schooler,secondary
17374,A curious middle school student who is fascinated by rocks and minerals,persona,12.0,False,yes,100,Explicitly described as a middle school student,secondary
43752,a rebellious middle school student who is uninterested in learning about extinct creatures,persona,12.0,False,yes,100,explicitly described as a middle school student,secondary
90719,A curious middle school student who loves learning about aerodynamics and helps their grandparent with building model airplanes,persona,12.0,False,yes,100,Explicitly described as a middle school student,secondary
21697,a middle school student from Uganda,persona,12.0,False,yes,100,explicitly described as a middle school student,secondary
123260,A picky eater and student council representative trying to cater to the diverse food preferences of the student body,persona,17.0,False,yes,90,student council representative implies a secondary school setting,secondary
20845,A middle schooler with severe allergies who relies on the school nurse for emergency care,persona,12.0,False,yes,100,Explicitly described as a middle schooler,secondary
198636,A curious and enthusiastic group of middle school students eager to learn through gaming,persona,12.0,False,yes,100,Explicitly described as middle school students,secondary
197487,A middle school student who participated in building the arcade machine,persona,12.0,False,yes,100,Explicitly described as a middle school student,secondary
38352,An inquisitive middle school student joining the science club for the first time,persona,12.0,False,yes,100,Explicitly described as a middle school student,secondary
71383,"A middle schooler struggling with fractions and decimals, seeking extra support outside the classroom",persona,12.0,False,yes,100,Explicitly described as a middle schooler,secondary
69806,A middle schooler who loves exploring their town's history through geocaching and local legends,persona,12.0,False,yes,100,Explicitly described as a middle schooler,secondary
66135,A shy middle schooler with a hidden knack for strategic thinking and chess,persona,12.0,False,yes,100,Explicitly described as a middle schooler,secondary
131821,A curious middle school student from India studying for a history test,persona,12.0,False,yes,100,Explicitly described as a middle school student,secondary
28109,A precocious middle school student benefiting from the sibling's guidance and support,persona,12.0,False,yes,100,Explicitly described as a middle school student,secondary
90612,A middle school student who aspires to be a nurse and seeks guidance on how to start their journey,persona,12.0,False,yes,100,Explicitly described as a middle school student,secondary
192879,A curious middle school student who loves snakes and researching animals on Wikipedia.,persona,12.0,False,yes,100,Explicitly described as a middle school student,secondary
125281,A middle school student who dislikes mathematics.,persona,12.0,False,yes,100,Explicitly described as a middle school student,secondary
97625,A middle school student interested in genetic genealogy and exploring their Irish heritage,persona,12.0,False,yes,100,Explicitly described as a middle school student,secondary
75127,A fellow student who is running against the student council president for the next term and challenges her on her budgeting plans during campaign debates,persona,17.0,False,yes,90,participating in student council elections and debates is typical for secondary school students,secondary
114465,A fellow middle school student from another country who shares their experiences and challenges in expressing empathy,persona,12.0,False,yes,100,Explicitly described as a middle school student,secondary
155660,Non-English speaking middle school student struggling to learn English,persona,12.0,False,yes,100,Explicitly described as a middle school student,secondary
5301,a middle school student who has just started learning history in school.,persona,12.0,False,yes,100,Explicitly described as a middle school student,secondary
53699,A group of enthusiastic middle school students eager to learn about human evolution,persona,12.0,False,yes,100,Explicitly described as middle school students,secondary
