source_file,persona_text,age,EC_z,EC_p,PC_z,PC_p,PE_z,PE_p
study_results/study_keefe/input_csv/keefe_scores_chunk_2.csv,A primary school student who eagerly provides input and suggestions for story development,8,6.816715388988239,9.314549132000138e-12,5.7838797239900295,7.29971438850896e-09,-1.03283566499821,0.3016808102081643
study_results/study_keefe/input_csv/keefe_scores_chunk_2.csv,A local elementary school student who is part of a gardening club and looks up to the urban gardening enthusiast as a mentor,8,5.557080657340464,2.7432401683569196e-08,4.5279916467218575,5.954693506948772e-06,-1.0290890106186077,0.30343784970643717
study_results/study_keefe/input_csv/keefe_scores_chunk_3.csv,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,10,6.969277277098165,3.185673946859424e-12,6.040040306818406,1.5407572995229657e-09,-0.929236970279759,0.3527662917609109
study_results/study_keefe/input_csv/keefe_scores_chunk_3.csv,A shy and introverted third-grader who discovers the joy of reading through the librarian's recommendations,8,4.566817810994582,4.951840390399198e-06,4.131882781376052,3.598039036134537e-05,-0.43493502961852987,0.6636095872351766
study_results/study_keefe/input_csv/keefe_scores_chunk_3.csv,An elementary school student who prefers reading traditional storybooks over digital ones,8,5.750416789045536,8.902371062546877e-09,5.955788817225734,2.5882036513991125e-09,0.2053720281801981,0.8372814727574087
study_results/study_keefe/input_csv/keefe_scores_chunk_3.csv,A primary school student who loves learning new healthy recipes to cook at home,8,4.456490417830649,8.331232308034231e-06,3.921711567690976,8.7922201129631e-05,-0.5347788501396727,0.5928027896657899
study_results/study_keefe/input_csv/keefe_scores_chunk_3.csv,A 9-year-old child who greatly enjoys the storytelling events and wants to become a writer,9,6.952641833661887,3.5851321911195555e-12,6.2798055271784765,3.3899683060667485e-10,-0.6728363064834085,0.5010514370618702
study_results/study_keefe/input_csv/keefe_scores_chunk_3.csv,An 11-year-old child obsessed with astronomy,11,6.25660290197631,3.934534920091437e-10,5.213835751646924,1.8497526421690225e-07,-1.0427671503293863,0.2970561489347503
study_results/study_keefe/input_csv/keefe_scores_chunk_3.csv,An elementary school student who helps in the garden and listens to stories of classic literature,8,3.5866493604982455,0.00033495424241181126,3.40731689247333,0.0006560491058302809,-0.1793324680249155,0.8576766542770469
study_results/study_keefe/input_csv/keefe_scores_chunk_3.csv,A lively ten-year-old who adores reading and regularly reviews books on her YouTube channel,10,6.211721875822014,5.240712308562934e-10,5.810965625768985,6.211351877283278e-09,-0.4007562500530297,0.6885995924452322
study_results/study_keefe/input_csv/keefe_scores_chunk_3.csv,A fellow elementary school student who is fascinated by birds and enjoys drawing them,8,5.699131521425432,1.2041930119721656e-08,4.369334166426166,1.2462593761419782e-05,-1.3297973549992668,0.18358504765789574
study_results/study_keefe/input_csv/keefe_scores_chunk_3.csv,A third-grade student who benefits from the integrated lesson plans and develops a love for reading and writing,8,6.48894631222075,8.643885607284574e-11,4.325964208147177,1.518660824118001e-05,-2.1629821040735715,0.03054255607847778
study_results/study_keefe/input_csv/keefe_scores_chunk_4.csv,An inquisitive middle school student joining the science club for the first time,12,7.4550410101733755,8.992806499463768e-14,6.0446278460865255,1.4975527484750728e-09,-1.410413164086849,0.15841772058354398
study_results/study_keefe/input_csv/keefe_scores_chunk_4.csv,A bright middle schooler who voraciously reads science fiction and conducts small experiments in their spare time,12,6.455557490424194,1.078213074379164e-10,5.206094750342091,1.928561994546385e-07,-1.249462740082105,0.21149587330592512
study_results/study_keefe/input_csv/keefe_scores_chunk_4.csv,A creative middle schooler who has started a cooking vlog using the new kitchen,12,6.932813172046984,4.125588759507082e-12,5.546250537637584,2.9186054018026653e-08,-1.3865626344094002,0.16557516880285905
study_results/study_keefe/input_csv/keefe_scores_chunk_4.csv,A curious middle school student who is fascinated by rocks and minerals,12,6.344959284242078,2.2248425324278287e-10,5.551839373711817,2.8267928220415683e-08,-0.7931199105302608,0.4277079635324932
study_results/study_keefe/input_csv/keefe_scores_chunk_4.csv,A middle school student seeking guidance on how to improve their computer skills for school assignments,12,7.052028784100663,1.7632562077096736e-12,6.649055710723481,2.9497959630475634e-11,-0.40297307337718197,0.6869680332672161
study_results/study_keefe/input_csv/keefe_scores_chunk_4.csv,A middle school band member interested in learning a variety of percussion instruments,12,5.573630388973315,2.4948476395891817e-08,4.930519190245627,8.201135941465765e-07,-0.6431111987276898,0.5201519484368493
study_results/study_keefe/input_csv/keefe_scores_chunk_4.csv,A shy but imaginative middle schooler who is looking for a captivating adventure novel to read,12,6.923509185452349,4.405809050922471e-12,6.923509185452348,4.405809050922471e-12,-8.784730638734725e-16,0.9999999999999993
study_results/study_keefe/input_csv/keefe_scores_chunk_4.csv,A middle school student excited about earth sciences and participating in the school's science fair with a volcano project,12,5.8758402751111145,4.207038273307262e-09,4.935705831093345,7.986140422300281e-07,-0.94013444401777,0.34714860297236516
study_results/study_keefe/input_csv/keefe_scores_chunk_4.csv,An ambitious 7th grade student who loves to learn but struggles with dyscalculia,12,6.294334020746536,3.087223809927764e-10,4.060860658546148,4.889214656333962e-05,-2.2334733622003884,0.025517745043400097
study_results/study_keefe/input_csv/keefe_scores_chunk_4.csv,A creative writing enthusiast in middle school who enjoys crafting stories and sometimes struggles with math homework,12,6.934807156773728,4.0678571622265736e-12,5.816289873423134,6.016809273035051e-09,-1.118517283350593,0.2633461291191592
study_results/study_keefe/input_csv/keefe_scores_chunk_5.csv,A middle school student who attends the coding workshops and looks up to the advocate as a role model,12,5.8451864283059844,5.060012631119548e-09,4.4813095950345945,7.418640168843638e-06,-1.3638768332713909,0.17260633322128438
study_results/study_keefe/input_csv/keefe_scores_chunk_5.csv,A middle school student who aspires to be a nurse and seeks guidance on how to start their journey,12,6.060415054070046,1.3577075019810536e-09,4.734699260992232,2.1938014822531215e-06,-1.3257157930778125,0.18493385419657038
study_results/study_keefe/input_csv/keefe_scores_chunk_5.csv,A middle schooler who loves exploring their town's history through geocaching and local legends,12,5.734202537257646,9.797220368312765e-09,5.521824665507363,3.354971922497896e-08,-0.21237787175028403,0.8318122478056389
study_results/study_keefe/input_csv/keefe_scores_chunk_5.csv,A middle school student working on a school project about mystery novels,12,6.658866023582538,2.759481532166319e-11,5.618418207397766,1.9271358508987646e-08,-1.0404478161847712,0.29813189639267246
study_results/study_keefe/input_csv/keefe_scores_chunk_5.csv,A secondary school student who is just starting to learn about programming and open-source projects,12,6.843426177202493,7.73203723269944e-12,4.830653772142936,1.3608546640675456e-06,-2.0127724050595566,0.044138578213492874
study_results/study_keefe/input_csv/keefe_scores_chunk_5.csv,A curious and inquisitive middle school student eager to learn about the town's past,12,6.721214780054365,1.802158422492539e-11,6.128166417108393,8.88975781876411e-10,-0.593048362945971,0.5531487864087086
study_results/study_keefe/input_csv/keefe_scores_chunk_5.csv,An ambitious 8th grader with a penchant for documentary filmmaking and a keen interest in local legends,13,5.260685321160786,1.4351947097424045e-07,4.286484335760632,1.8152299575247e-05,-0.9742009854001534,0.329956755505179
study_results/study_keefe/input_csv/keefe_scores_chunk_5.csv,A bright and curious middle schooler struggling with reading comprehension,12,6.388410487684233,1.6761880772264703e-10,5.80764589789476,6.335733493401108e-09,-0.5807645897894724,0.5613991234723776
study_results/study_keefe/input_csv/keefe_scores_chunk_5.csv,A keen middle school student working on a project about famous architects in history,12,5.756136215832975,8.606095169838568e-09,5.036619188853858,4.7382611434443334e-07,-0.7195170269791183,0.4718224149628436
study_results/study_keefe/input_csv/keefe_scores_chunk_5.csv,7th grade student in a computer science class,12,6.376161401504385,1.8158163861414778e-10,4.637208292003187,3.531464913608673e-06,-1.7389531095011976,0.08204301119752766
study_results/study_keefe/input_csv/keefe_scores_chunk_6.csv,A college freshman interested in studying automobile engineering,18,6.180960389482783,6.371281280337371e-10,5.408340340797428,6.361145810096502e-08,-0.7726200486853544,0.43974727574715966
study_results/study_keefe/input_csv/keefe_scores_chunk_6.csv,A freshman in mathematics at an university,18,5.544137699966447,2.9540630164248682e-08,4.471078790295516,7.782601722849947e-06,-1.0730589096709322,0.2832446856528954
study_results/study_keefe/input_csv/keefe_scores_chunk_6.csv,A first-year female undergraduate who is majoring in electronics at a university,18,7.125335442632213,1.0382805726294464e-12,5.44878592671874,5.071481012919321e-08,-1.6765495159134727,0.0936306058209131
study_results/study_keefe/input_csv/keefe_scores_chunk_6.csv,A first-year history student at Oregon State University with some interest in environmental topics,18,4.192045371457666,2.7645068917170335e-05,3.2807311602712237,0.0010353838205989785,-0.9113142111864417,0.3621298407088669
study_results/study_keefe/input_csv/keefe_scores_chunk_6.csv,A budding film music composer currently studying at Berklee College of Music who idolizes established composers and seeks inspiration from their careers,18,6.154197479095074,7.545861713253998e-10,5.305342654392299,1.1246153941435466e-07,-0.8488548247027745,0.3959620789291143
study_results/study_keefe/input_csv/keefe_scores_chunk_6.csv,A first-year university student who dreams of studying in a foreign country to immerse themselves in a different culture,18,5.406749196796143,6.417891262877617e-08,3.169473667087397,0.0015271529559697239,-2.2372755297087448,0.025268337525155227
study_results/study_keefe/input_csv/keefe_scores_chunk_6.csv,An incoming freshman at Barton College who's interested in studying audio recording technologies,18,5.740083253736575,9.463001715559471e-09,4.920071360345638,8.651266467651908e-07,-0.8200118933909379,0.41220932710700176
study_results/study_keefe/input_csv/keefe_scores_chunk_6.csv,A college freshman discovering the world of literature and finding their passion for writing,18,4.95301875375882,7.307092935171511e-07,4.191015868565157,2.7770823408435064e-05,-0.7620028851936633,0.4460582821753345
study_results/study_keefe/input_csv/keefe_scores_chunk_6.csv,A first-year university student majoring in English with little background in chemistry or biology,18,5.507599360505253,3.637601042605354e-08,4.720799451861638,2.3491947633846877e-06,-0.7867999086436153,0.43139900699392175
study_results/study_keefe/input_csv/keefe_scores_chunk_6.csv,A freshman at the University of Vermont studying Business Administration,18,5.728964626414218,1.0104546088740562e-08,4.93876260897777,7.861985034107732e-07,-0.7902020174364486,0.42940979803204193
study_results/study_keefe/input_csv/keefe_scores_chunk_7.csv,A first-year university student who just completed a course in number theory,18,6.296480529539924,3.044795526818689e-10,4.919125413703062,8.69317594132113e-07,-1.3773551158368624,0.16840248262475055
study_results/study_keefe/input_csv/keefe_scores_chunk_7.csv,A first-year college student who is timid and anxious about situations that involve big crowds and strangers,18,6.488946312220747,8.643885607284574e-11,5.30913789181698,1.1014498069172873e-07,-1.1798084204037667,0.23807641975542992
study_results/study_keefe/input_csv/keefe_scores_chunk_7.csv,A first-year university student who values honesty and integrity in academics,18,7.235096802822501,4.651834473179406e-13,5.3746433392395625,7.673441948519155e-08,-1.8604534635829377,0.06282139662764985
study_results/study_keefe/input_csv/keefe_scores_chunk_7.csv,A college freshman who struggles with distinguishing reliable information from misinformation online,18,5.705519588704163,1.1598871640927655e-08,4.417176455770956,9.99985930194569e-06,-1.2883431329332076,0.19762654474662877
study_results/study_keefe/input_csv/keefe_scores_chunk_7.csv,A first-year college student majoring in engineering struggling with calculus,18,6.609228360266055,3.863287467709142e-11,5.116821956335011,3.107266761670502e-07,-1.4924064039310436,0.13559263723910275
study_results/study_keefe/input_csv/keefe_scores_chunk_7.csv,A college freshman enrolled in an archaeology course and inspired by the stories of past civilizations,18,6.801781097820808,1.0333289779396182e-11,5.635761481051524,1.7428646970074624e-08,-1.1660196167692851,0.24360651427962443
study_results/study_keefe/input_csv/keefe_scores_chunk_7.csv,A college freshman volunteering in social work inspired by early education experiences,18,5.474440563242976,4.388959173873275e-08,3.852384100059872,0.00011697334663085535,-1.6220564631831054,0.10479125896837527
study_results/study_keefe/input_csv/keefe_scores_chunk_7.csv,A freshman student at Cleveland State University who is eager to deepen his understanding of Middle Eastern Studies and needs to collect various academic resources for his study.,18,8.590849840093252,0.0,5.645415609204134,1.647826852746448e-08,-2.9454342308891177,0.00322501703079614
study_results/study_keefe/input_csv/keefe_scores_chunk_7.csv,A freshman at Utah Tech University enthusiastic about football and deeply involved in school spirit,18,4.357009178571604,1.3185174078556017e-05,4.357009178571603,1.3185174078556017e-05,0.0,1.0
study_results/study_keefe/input_csv/keefe_scores_chunk_7.csv,An university freshman interested in cross-disciplinary studies,18,4.871005327866039,1.110318455621595e-06,4.481324901636754,7.418108031620463e-06,-0.3896804262292837,0.6967728721910607
